Year,113 Cause Name,Cause Name,Deaths,Age-adjusted Death Rate
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,370,13.3
2014,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,1166,40.2
2014,All Causes,All causes,21793,749.2
2014,Alzheimer's disease (G30),Alzheimer's disease,606,23.8
2014,Cerebrovascular diseases (I60-I69),Stroke,948,33.8
2014,Chronic lower respiratory diseases (J40-J47),CLRD,1522,52.9
2014,Diabetes mellitus (E10-E14),Diabetes,350,11.4
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,5761,197.2
2014,Influenza and pneumonia (J09-J18),Influenza and pneumonia,687,23.8
2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,573,19.6
2014,Malignant neoplasms (C00-C97),Cancer,5015,164.5
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,365,12.8
2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,1340,45.4
2015,All Causes,All causes,22879,757.2
2015,Alzheimer's disease (G30),Alzheimer's disease,874,32.9
2015,Cerebrovascular diseases (I60-I69),Stroke,1078,37.0
2015,Chronic lower respiratory diseases (J40-J47),CLRD,1617,54.1
2015,Diabetes mellitus (E10-E14),Diabetes,420,13.4
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,6114,200.9
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,630,21.3
2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,558,18.4
2015,Malignant neoplasms (C00-C97),Cancer,5015,157.2
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,316,10.5
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,1395,46.0
2016,All Causes,All causes,23902,762.6
2016,Alzheimer's disease (G30),Alzheimer's disease,686,24.6
2016,Cerebrovascular diseases (I60-I69),Stroke,1096,35.9
2016,Chronic lower respiratory diseases (J40-J47),CLRD,1778,56.6
2016,Diabetes mellitus (E10-E14),Diabetes,580,17.9
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,6457,205.9
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,567,18.1
2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,650,21.4
2016,Malignant neoplasms (C00-C97),Cancer,5214,157.3
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,274,8.8
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,1496,47.8
2017,All Causes,All causes,24657,765.5
2017,Alzheimer's disease (G30),Alzheimer's disease,779,27.3
2017,Cerebrovascular diseases (I60-I69),Stroke,1137,35.9
2017,Chronic lower respiratory diseases (J40-J47),CLRD,1633,50.0
2017,Diabetes mellitus (E10-E14),Diabetes,609,18.3
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,6417,199.3
2017,Influenza and pneumonia (J09-J18),Influenza and pneumonia,636,19.6
2017,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,627,20.3
2017,Malignant neoplasms (C00-C97),Cancer,5283,155.3
2017,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,299,9.0
